Year,State,SA3 code,SA3 name,SA3 group,Service,Per cent of people who had the service (%),Services per 100 people,Medicare benefits per 100 people ($)
2017-18,NSW,10103,Snowy Mountains,Outer regional,Diagnostic Imaging (total),58.5,166.47,"$24,780 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Diagnostic Imaging (total),36.24,85.4,"$11,115 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Diagnostic Imaging (total),41.9,103.58,"$12,646 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Diagnostic Imaging (total),31.1,68.86,"$9,722 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP After-hours (non-urgent),5.18,7.47,$412 
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP After-hours (urgent),0.41,0.53,$68 
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP subtotal - After-hours,5.48,8,$480 
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP Chronic Disease Management Plan,9.29,19.83,"$2,189 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP Health Assessment,1.9,1.91,$381 
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP Mental Health,4.71,7.22,$609 
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP Multidisciplinary Case Conference,NP,NP,NP
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP subtotal - Enhanced Primary Care,14.47,29.44,"$3,235 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Medication Management Review (domiciliary),NP,NP,NP
2017-18,NSW,10103,Snowy Mountains,Outer regional,Medication Management Review (residential),0.21,0.21,$22 
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP Acupuncture,NP,NP,NP
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP Long (Level C),33.36,74.34,"$5,370 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP Focussed Psychological Strategies and Family Group Therapy,NP,NP,NP
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP Pregnancy Support Counselling,NP,NP,NP
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP Prolonged - Imminent danger of death,NP,NP,NP
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP Prolonged (Level D),5.94,8.83,$950 
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP Short (Level A),16.5,27.18,$468 
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP Standard (Level B),78.36,336.8,"$12,670 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP subtotal - Other,82.67,453.54,"$19,755 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP Telehealth (patient-end),0.64,1.16,$77 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Other Non-referred Medical Practitioner,1.96,3.43,$97 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Asthma Cycle of Care PIP,0.2,0.2,$11 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Cervical Smear PIP,0.23,0.23,$14 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Diabetes Mellitus Annual Cycle of Care PIP,0.96,0.96,$52 
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP subtotal - PIP,1.38,1.39,$78 
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP attendances (total),77.71,310.66,"$13,979 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP attendances (total),74.88,369.01,"$17,344 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP attendances (total),85.21,481.58,"$22,826 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP attendances (total),100,940.31,"$47,006 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP attendances (total),83.41,492.36,"$23,548 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP attendances (total),88.98,576.49,"$27,851 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,GP attendances (total),78.35,415.84,"$19,634 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Midwifery,0,0,$0 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Nurse Practitioners,0.25,0.54,$19 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Practice Nurse/Aboriginal Health Worker,4.36,9.48,$118 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Nursing and Aboriginal Health Workers (total),0.74,1.09,$22 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Nursing and Aboriginal Health Workers (total),1.39,2.31,$33 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Nursing and Aboriginal Health Workers (total),4.03,8.15,$116 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Nursing and Aboriginal Health Workers (total),15.32,36.15,$474 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Nursing and Aboriginal Health Workers (total),4.59,10.02,$137 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Nursing and Aboriginal Health Workers (total),5.26,11.31,$152 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Nursing and Aboriginal Health Workers (total),3.98,8.84,$123 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Early Intervention Services for Children,NP,NP,NP
2017-18,NSW,10103,Snowy Mountains,Outer regional,Psychiatry,0.94,3.44,$701 
2017-18,NSW,10103,Snowy Mountains,Outer regional,Specialist attendances (total),13.57,26.02,"$2,658 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Specialist attendances (total),17.07,35.69,"$3,221 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Specialist attendances (total),27.31,64.16,"$5,374 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Specialist attendances (total),51.79,141.78,"$10,787 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Specialist attendances (total),25.56,61.12,"$5,106 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Specialist attendances (total),27.64,67.31,"$5,541 "
2017-18,NSW,10103,Snowy Mountains,Outer regional,Specialist attendances (total),23.67,55.48,"$4,710 "
2017-18,NSW,10104,South Coast,Outer regional,Allied Health subtotal - Mental Health Care,4.79,21.27,"$2,058 "
2017-18,NSW,10104,South Coast,Outer regional,Clinical Psychologist,1.39,6.81,840
2017-18,NSW,10104,South Coast,Outer regional,Other Allied Mental Health,0.63,2.5,$192 
2017-18,NSW,10104,South Coast,Outer regional,Other Psychologist,3.01,11.96,"$1,026 "
2017-18,NSW,10104,South Coast,Outer regional,Allied Health subtotal - Optometry,31.93,43.3,"$2,069 "
2017-18,NSW,10104,South Coast,Outer regional,Allied Health subtotal - Other,5.56,14.96,$799 
2017-18,NSW,10104,South Coast,Outer regional,Audiology,0.02,0.04,$2 
2017-18,NSW,10104,South Coast,Outer regional,Diabetes Education,NP,NP,NP
2017-18,NSW,10104,South Coast,Outer regional,Dietetics,0.77,1.19,$63 
2017-18,NSW,10104,South Coast,Outer regional,Occupational Therapy,0.03,0.07,$5 
2017-18,NSW,10104,South Coast,Outer regional,Other Allied Health,NP,NP,NP
2017-18,NSW,10104,South Coast,Outer regional,Podiatry,4.56,12.85,$684 
2017-18,NSW,10104,South Coast,Outer regional,Speech Pathology,0.06,0.17,$12 
2017-18,NSW,10104,South Coast,Outer regional,Allied Health subtotal - Physical Health Care,5.08,16.03,$843 
2017-18,NSW,10104,South Coast,Outer regional,Chiropractic Services,0.47,1.71,$91 
2017-18,NSW,10104,South Coast,Outer regional,Exercise Physiology,0.93,2.59,$124 
2017-18,NSW,10104,South Coast,Outer regional,Osteopathy,0.6,1.86,$99 
2017-18,NSW,10104,South Coast,Outer regional,Physiotherapy,3.42,9.87,$530 
2017-18,NSW,10104,South Coast,Outer regional,Allied Health attendances (total),20.28,44.5,"$3,087 "
2017-18,NSW,10104,South Coast,Outer regional,Allied Health attendances (total),25.12,64.28,"$4,813 "
2017-18,NSW,10104,South Coast,Outer regional,Allied Health attendances (total),40.84,92.61,"$5,712 "
2017-18,NSW,10104,South Coast,Outer regional,Allied Health attendances (total),62.3,162.05,"$8,742 "
2017-18,NSW,10104,South Coast,Outer regional,Allied Health attendances (total),39.19,95.57,"$5,770 "
2017-18,NSW,10104,South Coast,Outer regional,Allied Health attendances (total),44.17,111.7,"$6,811 "
2017-18,NSW,10104,South Coast,Outer regional,Allied Health attendances (total),34.05,78.9,"$4,694 "
2017-18,NSW,10104,South Coast,Outer regional,Diagnostic Imaging (total),21.57,36.12,"$3,275 "
2017-18,NSW,10104,South Coast,Outer regional,Diagnostic Imaging (total),36.19,77.76,"$9,636 "
2017-18,NSW,10104,South Coast,Outer regional,Diagnostic Imaging (total),41.02,101.87,"$15,439 "
2017-18,NSW,10104,South Coast,Outer regional,Diagnostic Imaging (total),56.96,166.61,"$27,036 "
2017-18,NSW,10104,South Coast,Outer regional,Diagnostic Imaging (total),39.94,99.93,"$14,746 "
2017-18,NSW,10104,South Coast,Outer regional,Diagnostic Imaging (total),44.07,113.14,"$15,816 "
2017-18,NSW,10104,South Coast,Outer regional,Diagnostic Imaging (total),35.67,86.27,"$13,641 "
2017-18,NSW,10104,South Coast,Outer regional,GP After-hours (non-urgent),5.89,11.13,$654 
2017-18,NSW,10104,South Coast,Outer regional,GP After-hours (urgent),0.47,0.59,$74 
2017-18,NSW,10104,South Coast,Outer regional,GP subtotal - After-hours,6.19,11.72,$728 
2017-18,NSW,10104,South Coast,Outer regional,GP Chronic Disease Management Plan,20.49,56.14,"$5,659 "
2017-18,NSW,10104,South Coast,Outer regional,GP Health Assessment,6.75,6.86,"$1,389 "
2017-18,NSW,10104,South Coast,Outer regional,GP Mental Health,8.65,14.89,"$1,194 "
2017-18,NSW,10104,South Coast,Outer regional,GP Multidisciplinary Case Conference,0.21,0.26,$26 
2017-18,NSW,10104,South Coast,Outer regional,GP subtotal - Enhanced Primary Care,30.26,78.85,"$8,362 "
2017-18,NSW,10104,South Coast,Outer regional,Medication Management Review (domiciliary),0.38,0.38,$59 
2017-18,NSW,10104,South Coast,Outer regional,Medication Management Review (residential),0.33,0.33,$35 
2017-18,NSW,10104,South Coast,Outer regional,GP Acupuncture,0.09,0.22,$10 
2017-18,NSW,10104,South Coast,Outer regional,GP Long (Level C),38.78,80.6,"$5,853 "
2017-18,NSW,10104,South Coast,Outer regional,GP Focussed Psychological Strategies and Family Group Therapy,0.01,0.04,$7 
2017-18,NSW,10104,South Coast,Outer regional,GP Pregnancy Support Counselling,0.04,0.06,$5 
2017-18,NSW,10104,South Coast,Outer regional,GP Prolonged - Imminent danger of death,0.05,0.05,$14 
2017-18,NSW,10104,South Coast,Outer regional,GP Prolonged (Level D),5.43,7.51,$807 
2017-18,NSW,10104,South Coast,Outer regional,GP Short (Level A),20.67,32.87,$567 
2017-18,NSW,10104,South Coast,Outer regional,GP Standard (Level B),85.49,391.95,"$14,789 "
2017-18,NSW,10104,South Coast,Outer regional,GP subtotal - Other,89.85,518.24,"$22,268 "
2017-18,NSW,10104,South Coast,Outer regional,GP Telehealth (patient-end),0.75,1.49,$122 
2017-18,NSW,10104,South Coast,Outer regional,Other Non-referred Medical Practitioner,2.19,3.45,$96 
2017-18,NSW,10104,South Coast,Outer regional,Asthma Cycle of Care PIP,0.4,0.4,$20 
2017-18,NSW,10104,South Coast,Outer regional,Cervical Smear PIP,0.25,0.25,$14 
2017-18,NSW,10104,South Coast,Outer regional,Diabetes Mellitus Annual Cycle of Care PIP,2.27,2.27,$107 
2017-18,NSW,10104,South Coast,Outer regional,GP subtotal - PIP,2.9,2.92,$141 
2017-18,NSW,10104,South Coast,Outer regional,GP attendances (total),85.7,340.82,"$16,385 "
2017-18,NSW,10104,South Coast,Outer regional,GP attendances (total),91.2,477.08,"$23,791 "
2017-18,NSW,10104,South Coast,Outer regional,GP attendances (total),87.99,547.69,"$27,732 "
2017-18,NSW,10104,South Coast,Outer regional,GP attendances (total),100,998.66,"$53,418 "
2017-18,NSW,10104,South Coast,Outer regional,GP attendances (total),91.34,611.74,"$31,499 "
2017-18,NSW,10104,South Coast,Outer regional,GP attendances (total),94.29,668.91,"$34,608 "
2017-18,NSW,10104,South Coast,Outer regional,GP attendances (total),88.29,552.66,"$28,287 "
2017-18,NSW,10104,South Coast,Outer regional,Midwifery,NP,NP,NP
2017-18,NSW,10104,South Coast,Outer regional,Nurse Practitioners,NP,NP,NP
2017-18,NSW,10104,South Coast,Outer regional,Practice Nurse/Aboriginal Health Worker,8.24,16.25,$235 
2017-18,NSW,10104,South Coast,Outer regional,Nursing and Aboriginal Health Workers (total),3.67,5.69,$138 
2017-18,NSW,10104,South Coast,Outer regional,Nursing and Aboriginal Health Workers (total),5.02,12.76,$437 
2017-18,NSW,10104,South Coast,Outer regional,Nursing and Aboriginal Health Workers (total),6.76,13.32,$204 
2017-18,NSW,10104,South Coast,Outer regional,Nursing and Aboriginal Health Workers (total),17.01,36.95,$531 
2017-18,NSW,10104,South Coast,Outer regional,Nursing and Aboriginal Health Workers (total),8.59,17.99,$319 
2017-18,NSW,10104,South Coast,Outer regional,Nursing and Aboriginal Health Workers (total),9.08,19.51,$385 
2017-18,NSW,10104,South Coast,Outer regional,Nursing and Aboriginal Health Workers (total),8.07,16.42,$250 
2017-18,NSW,10104,South Coast,Outer regional,Early Intervention Services for Children,NP,NP,NP
2017-18,NSW,10104,South Coast,Outer regional,Psychiatry,1.11,4.15,$832 
2017-18,NSW,10104,South Coast,Outer regional,Specialist attendances (total),14.95,28.78,"$3,206 "
2017-18,NSW,10104,South Coast,Outer regional,Specialist attendances (total),23.19,52.2,"$4,983 "
2017-18,NSW,10104,South Coast,Outer regional,Specialist attendances (total),34.2,87.68,"$7,204 "
2017-18,NSW,10104,South Coast,Outer regional,Specialist attendances (total),58.39,182.14,"$13,575 "
2017-18,NSW,10104,South Coast,Outer regional,Specialist attendances (total),34.43,93.81,"$7,640 "
2017-18,NSW,10104,South Coast,Outer regional,Specialist attendances (total),35.84,96.99,"$7,949 "
2017-18,NSW,10104,South Coast,Outer regional,Specialist attendances (total),32.97,90.53,"$7,321 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Allied Health subtotal - Mental Health Care,3.74,15.76,"$1,697 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Clinical Psychologist,1.93,8.51,1070
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Other Allied Mental Health,0.08,0.33,$26 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Other Psychologist,1.86,6.92,$602 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Allied Health subtotal - Optometry,29.77,38.32,"$1,802 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Allied Health subtotal - Other,6.59,18.34,$975 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Audiology,0.05,0.14,$6 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Diabetes Education,0.08,0.12,$6 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Dietetics,1.82,2.54,$135 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Occupational Therapy,0.06,0.16,$10 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Other Allied Health,0,0,$0 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Podiatry,4.92,15.14,$805 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Speech Pathology,0.08,0.25,$13 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Allied Health subtotal - Physical Health Care,3.29,10.32,$546 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Chiropractic Services,0.32,0.99,$53 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Exercise Physiology,0.47,1.2,$60 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Osteopathy,0.23,0.76,$40 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Physiotherapy,2.41,7.37,$393 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Allied Health attendances (total),21.02,38.71,"$2,511 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Allied Health attendances (total),23.18,48.28,"$3,502 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Allied Health attendances (total),40.67,87.94,"$5,586 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Allied Health attendances (total),66.28,182.24,"$9,800 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Allied Health attendances (total),35.82,82.74,"$5,021 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Allied Health attendances (total),42.16,101.3,"$6,211 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Allied Health attendances (total),29.73,64.88,"$3,875 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Diagnostic Imaging (total),22.32,39.96,"$3,863 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Diagnostic Imaging (total),35.76,80.86,"$10,126 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Diagnostic Imaging (total),44.15,119.45,"$18,379 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Diagnostic Imaging (total),61.35,198.46,"$32,768 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Diagnostic Imaging (total),39.1,102.46,"$14,987 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Diagnostic Imaging (total),45.11,125.28,"$17,223 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Diagnostic Imaging (total),33.32,80.5,"$12,836 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,GP After-hours (non-urgent),19.26,34.61,"$1,916 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,GP After-hours (urgent),0.49,0.64,$81 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,GP subtotal - After-hours,19.56,35.25,"$1,997 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,GP Chronic Disease Management Plan,18.76,48.98,"$5,261 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,GP Health Assessment,4.1,4.17,$787 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,GP Mental Health,8.85,14.86,"$1,220 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,GP Multidisciplinary Case Conference,0.17,0.22,$24 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,GP subtotal - Enhanced Primary Care,26.85,68.89,"$7,379 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Medication Management Review (domiciliary),0.34,0.34,$52 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,Medication Management Review (residential),0.32,0.32,$34 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,GP Acupuncture,0.02,0.06,$2 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,GP Long (Level C),42.95,97.72,"$7,091 "
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,GP Focussed Psychological Strategies and Family Group Therapy,0.04,0.12,$16 
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,GP Pregnancy Support Counselling,NP,NP,NP
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,GP Prolonged - Imminent danger of death,NP,NP,NP
2017-18,NSW,10105,Goulburn - Mulwaree,Inner regional,GP Prolonged (Level D),6.24,9.3,"$1,012 "
